Au seeds-chemos,,exp8,,exp9,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
911,0.0280611961728772,911,0.3380546702051,911,0.508452631575204
910,0.0278336079442812,910,0.334014387277025,910,0.510321392311761
909,0.0279573256144586,909,0.330246845338962,909,0.512470375626582
908,0.0276331453221627,908,0.326375986033202,908,0.515916967734115
907,0.0278020078986415,907,0.321489681610469,907,0.517738971629993
906,0.0283549678910808,906,0.31669880113645,906,0.521208287464568
905,0.027959423763729,905,0.313179796944666,905,0.522698383424294
904,0.0282989605277269,904,0.309552388609461,904,0.525035240335472
903,0.0283070834962024,903,0.304929752218551,903,0.525672420374186
902,0.0285214023885422,902,0.301349442425466,902,0.53062399742192
901,0.0281897848936688,901,0.296936379695907,901,0.532064002525253
900,0.0283994031428388,900,0.293077718049385,900,0.535461130107301
899,0.0286501274625959,899,0.288788820452053,899,0.537978193486921
898,0.0287103283747933,898,0.285385881957156,898,0.540949621085492
897,0.0287077011512009,897,0.280610778945816,897,0.543917381793632
896,0.028447546463323,896,0.276843527171927,896,0.545140522385769
895,0.0287692929842045,895,0.275032133687122,895,0.547651354911812
894,0.0296994866280445,894,0.270818200081951,894,0.550550504308653
893,0.0292861843136224,893,0.266543993259577,893,0.553180187709664
892,0.0291123978954721,892,0.262794980375596,892,0.555170864725527
891,0.029253370814606,891,0.258669257213725,891,0.557454570767231
890,0.0297064716525693,890,0.255290656723617,890,0.560562588874204
889,0.0301080499316068,889,0.252018229587735,889,0.563666801524121
888,0.0295065281724895,888,0.248632728546491,888,0.567003585680683
887,0.0297588906397102,887,0.245087629467682,887,0.569449703483968
886,0.0296462987967517,886,0.241004098353018,886,0.571798553558639
885,0.0296317210913486,885,0.237632137159252,885,0.574461877423315
884,0.0301726710193367,884,0.233938224437295,884,0.57792445202323
883,0.0303187351191145,883,0.231125364192059,883,0.580213508641861
882,0.030481619963989,882,0.228390998644814,882,0.582548994682188
881,0.0303522676899706,881,0.224933969008169,881,0.585083023379154
880,0.0300031062408775,880,0.222498394949511,880,0.587947444385899
879,0.0307002654113505,879,0.219045204124118,879,0.591504364277751
878,0.0307753112797353,878,0.216069442595942,878,0.592362381461609
877,0.0300911817755423,877,0.21290670432946,877,0.595032936491377
876,0.0303400257808381,876,0.21042025671147,876,0.597359160770205
875,0.0317198410280285,875,0.207826597424155,875,0.602028256290309
874,0.0319617628443512,874,0.20387167261247,874,0.603694266704943
873,0.0317721693972452,873,0.201168431795033,873,0.606223869788583
872,0.0314256774673772,872,0.199507291083511,872,0.609328792747295
871,0.0321047230029958,871,0.19577851210214,871,0.611222634761626
870,0.0319501998984582,870,0.194916475999814,870,0.614600116217172
869,0.0326271086897852,869,0.191146656281137,869,0.618475183085727
868,0.0326441314456399,868,0.189229760994789,868,0.618546214086798
867,0.0319606483301356,867,0.187273038428097,867,0.622033913329034
866,0.0329022893580231,866,0.184102802716711,866,0.626177675290035
865,0.03241237230462,865,0.183146542376169,865,0.627841616960104
864,0.0325343045464776,864,0.180184094382722,864,0.629371513712084
863,0.0339832599026445,863,0.178226058288616,863,0.631101228015933
862,0.0332322167146355,862,0.176695650828523,862,0.634346394571544
861,0.0334080512716262,861,0.173564825634681,861,0.635097422547245
860,0.0339646450324086,860,0.17242107625268,860,0.637648527150575
859,0.0343596753610744,859,0.169533560567162,859,0.640598065551275
858,0.0333129559334115,858,0.168954847689079,858,0.643257001944816
857,0.0340707744811619,857,0.165763475486964,857,0.647115400962828
856,0.0349895373592342,856,0.166124969847188,856,0.646580354658503
855,0.0337821216156571,855,0.162527898953734,855,0.652467139587077
854,0.0354806023018564,854,0.161255517679251,854,0.654460974759129
853,0.0349346877813837,853,0.161112158571541,853,0.657705299434124
852,0.0343127771696378,852,0.158367056333168,852,0.656970073159157
851,0.0357286478055457,851,0.1569887594843,851,0.659217201135052
850,0.0356508303350663,850,0.154771521691616,850,0.660174521966219
849,0.036785100745428,849,0.154907477430039,849,0.663004610591504
848,0.0369578139296841,848,0.151883930909085,848,0.665277364428878
847,0.0369929623860708,847,0.1519545933678,847,0.663435914338124
846,0.0363897450520464,846,0.150957495336811,846,0.66598355303831
845,0.0376059949406515,845,0.150336173993064,845,0.669244487817827
844,0.0370658897086928,844,0.1504045355022,844,0.674085086702131
843,0.0382122619469616,843,0.148928156337326,843,0.675254123557771
842,0.037439231435112,842,0.147430025297865,842,0.676322799396642
841,0.0381653133265257,841,0.146145602251607,841,0.677580118083914
840,0.038276828122063,840,0.144551138259081,840,0.678507211847525
839,0.0382480774619175,839,0.14495484399749,839,0.681923682173665
838,0.0385928998588655,838,0.144883721206375,838,0.681708969035923
837,0.0395615515859121,837,0.143311445501118,837,0.682332188291511
836,0.0401277681104499,836,0.141949564671877,836,0.685129694799322
835,0.0396972786712619,835,0.141789796873957,835,0.685927561945734
834,0.0392681506014049,834,0.14051881028486,834,0.687622328736194
833,0.0405638003094672,833,0.14003128787468,833,0.687839103058875
832,0.0409856767115072,832,0.138949396733021,832,0.687754366889972
831,0.0410822680458226,831,0.138857296597224,831,0.690009268174865
830,0.0416290754289896,830,0.138623712184052,830,0.689932061940203
