e1,,exp2,,exp3,,exp4,,exp5-dilfac-2,,exp6,,exp7,,exp8,,exp9,,exp10 dil,,exp11-dil,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
1017,0.361012498534881,1017,0.363977524873848,1017,0.261422673505197,1017,0.310310303718776,1017,0.152106865236444,1017,0.29268760078697,1017,0.126689875786617,1017,0.503280072633689,1017,0.321588815772445,1017,0.0967531335491366,1017,0.0610451281279896
1016,0.362590157161084,1016,0.367181429908979,1016,0.262095410262407,1016,0.312119020270998,1016,0.153889822987164,1016,0.29424971812726,1016,0.128455689711565,1016,0.505890824292193,1016,0.32161989314261,1016,0.0974693416906692,1016,0.0616455973792005
1015,0.362977139420078,1015,0.369776728813921,1015,0.264171399486795,1015,0.312329815361804,1015,0.15565245801314,1015,0.295435929038792,1015,0.130358769882835,1015,0.508208599647294,1015,0.323407662640352,1015,0.0982327208478134,1015,0.0619428745663083
1014,0.365005474543395,1014,0.372640528496919,1014,0.265219730155794,1014,0.312517800397706,1014,0.15833130994183,1014,0.297679434495797,1014,0.131664678732987,1014,0.509233419627641,1014,0.323942893893783,1014,0.100271754790597,1014,0.0642064970409507
1013,0.367518944301745,1013,0.375060212382486,1013,0.266163227126283,1013,0.313647209394453,1013,0.160431838946584,1013,0.300151176686078,1013,0.133245653112942,1013,0.510561666075735,1013,0.324578194565299,1013,0.101348791642013,1013,0.0642840506830261
1012,0.369217670208288,1012,0.37749345317262,1012,0.268341191014593,1012,0.314778040188573,1012,0.162986272032559,1012,0.302055591118188,1012,0.135624350263568,1012,0.511014148991951,1012,0.32576235768146,1012,0.103026238759465,1012,0.0657676465109847
1011,0.37093930375526,1011,0.379375680734125,1011,0.269629940219472,1011,0.315039987422085,1011,0.165357352549738,1011,0.303922944113403,1011,0.136067994564765,1011,0.51373041589629,1011,0.327209860032833,1011,0.104893132975812,1011,0.0669295412895749
1010,0.372489449321658,1010,0.381837373916526,1010,0.269979825386123,1010,0.315649349711748,1010,0.167813177898736,1010,0.306558556251949,1010,0.137898818998969,1010,0.514055055461544,1010,0.328648134156346,1010,0.105392796121299,1010,0.0671836202026569
1009,0.373658859595972,1009,0.3848992304939,1009,0.271903681123932,1009,0.317487557279408,1009,0.170779215924619,1009,0.307960679874735,1009,0.139823859093161,1009,0.515137431733781,1009,0.329328652274067,1009,0.106530293080898,1009,0.0676148764722127
1008,0.376379264323819,1008,0.386710560198304,1008,0.273405064032303,1008,0.317699683785029,1008,0.173791759020847,1008,0.310521518956932,1008,0.142020459822099,1008,0.517358657219251,1008,0.330837790523937,1008,0.108663637584062,1008,0.0691304623567239
1007,0.377657276984839,1007,0.389577610551111,1007,0.274720109432227,1007,0.319268107678717,1007,0.176876066659716,1007,0.312837700137584,1007,0.143801188205154,1007,0.518018239960485,1007,0.332452278065322,1007,0.110720289433134,1007,0.070715446292111
1006,0.379517730792099,1006,0.392086333056382,1006,0.276252940144994,1006,0.319977147259257,1006,0.179060019686068,1006,0.314465946403487,1006,0.145775260058421,1006,0.519291337250744,1006,0.333133241450071,1006,0.112237995459447,1006,0.0708127880969049
1005,0.379865687645812,1005,0.394528817507291,1005,0.277603334605048,1005,0.320710043781488,1005,0.18314247751095,1005,0.317695541378161,1005,0.148155469552933,1005,0.521011451443597,1005,0.334548933931737,1005,0.114186681259671,1005,0.0722215200383302
1004,0.380825276582185,1004,0.397764821890857,1004,0.280029207072712,1004,0.321275126731413,1004,0.185461238377658,1004,0.319477648680042,1004,0.149959902618517,1004,0.520423451487355,1004,0.336000089387962,1004,0.115972128149723,1004,0.0727229324226689
1003,0.382934725218085,1003,0.400101153902054,1003,0.280986089358909,1003,0.322782507445259,1003,0.188053001468658,1003,0.321687402481085,1003,0.152409032216083,1003,0.522204404633321,1003,0.336650562731503,1003,0.116438744607515,1003,0.0740512446095207
1002,0.384663698002976,1002,0.402759366039732,1002,0.28237263012183,1002,0.32393961930385,1002,0.191073742117802,1002,0.324340885800121,1002,0.154101830021324,1002,0.524476844384263,1002,0.338668170998238,1002,0.119438363524662,1002,0.0750698751488679
1001,0.385443015599585,1001,0.406359213745062,1001,0.284108245197097,1001,0.324732244181706,1001,0.194053921794309,1001,0.326464686541249,1001,0.156386955760983,1001,0.52414691937651,1001,0.339567702143241,1001,0.120343933164078,1001,0.0758855044562741
1000,0.385282891643472,1000,0.408665382733022,1000,0.284887066146427,1000,0.325413275254036,1000,0.197286985011958,1000,0.329746823028577,1000,0.158331011756987,1000,0.524951610725335,1000,0.341538379980579,1000,0.1220231204226,1000,0.0771238231282286
999,0.387215042180959,999,0.4121625728148,999,0.287579894146687,999,0.327061525574042,999,0.201155720641308,999,0.332497390084731,999,0.161094790608713,999,0.52634954492169,999,0.344394301855464,999,0.125861394537998,999,0.0791578664703498
998,0.388304784176813,998,0.414721193488202,998,0.287942891969746,998,0.328148901025177,998,0.204165585771915,998,0.334057594934786,998,0.162778055787848,998,0.526833808956917,998,0.343671191130925,998,0.126919346365286,998,0.0807163742726504
997,0.389861652796716,997,0.416941338895294,997,0.289654051209179,997,0.328955380968237,997,0.208428790121735,997,0.336796475272465,997,0.165666950883319,997,0.528297537900193,997,0.345967744187212,997,0.128428619841756,997,0.0817967758619904
996,0.390505006306268,996,0.42093066520039,996,0.291678570921115,996,0.331811392312245,996,0.211508664434023,996,0.339339138746683,996,0.167575829471471,996,0.529226749319174,996,0.347370063727141,996,0.13021082496044,996,0.0829241417930552
995,0.392798796069223,995,0.422993535123761,995,0.292791015301145,995,0.331610509061305,995,0.21532662659371,995,0.342550622944331,995,0.170739556688927,995,0.528996622792613,995,0.348695914067365,995,0.132852787020147,995,0.0838565178989175
994,0.393273813352265,994,0.427534650276982,994,0.295186893489845,994,0.332881797598908,994,0.218667250554809,994,0.344385377459043,994,0.17342124350595,994,0.530629707007991,994,0.350208971624034,994,0.135350886342486,994,0.0862968438095105
