Sample 1,,nr-poly-1day,,exp1,,exp2,,exp3-22-02-2023,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
924,0.0522950386169586,924,0.0535330043638089,924,0.236834707055804,924,0.120374875423093,924,0.0765089922275873
923,0.0530985045367561,923,0.0545889287279616,923,0.239056263923248,923,0.123687384146673,923,0.0766645872004163
922,0.0532149158164462,922,0.0547313437575023,922,0.239935007599698,922,0.125108754408593,922,0.0776016507781312
921,0.0526359180026763,921,0.0549902823622257,921,0.240604344883736,921,0.126332704547758,921,0.0787124867897731
920,0.0536232601765312,920,0.0560234603690275,920,0.242406095075185,920,0.128227701420633,920,0.0798239315136068
919,0.0537162883903874,919,0.056650435739315,919,0.244623672568163,919,0.130288599829243,919,0.0813163418348514
918,0.0540216406160788,918,0.0573591043696227,918,0.24595847068127,918,0.1321699505978,918,0.0822372292083373
917,0.0544074766853582,917,0.058068487436412,917,0.247337414323313,917,0.133730544085727,917,0.0829075048028963
916,0.0544314487772926,916,0.0585446607277969,916,0.2478628177326,916,0.134922453441144,916,0.0841619527513991
915,0.0543350109653,915,0.0587322654566753,915,0.24874434199329,915,0.136433549614089,915,0.08504774664883
914,0.0551657763492728,914,0.0597803359317715,914,0.25053674248825,914,0.13857862020599,914,0.0862983278982133
913,0.0553145551029441,913,0.0603732274042425,913,0.252074700726318,913,0.140824474621718,913,0.0875959076432118
912,0.0561190072454459,912,0.0613199333371484,912,0.253544791073717,912,0.142551230736515,912,0.0891243075662582
911,0.0551958454790794,911,0.0619134391971299,911,0.253792179065306,911,0.144555543580361,911,0.0894152789048045
910,0.0561500262104768,910,0.063087833095149,910,0.255862028261173,910,0.146302738972252,910,0.0907664023498791
909,0.0562715311263934,909,0.0636570553223487,909,0.256476575918806,909,0.1485159682439,909,0.0921496495864065
908,0.056339988366207,908,0.064362819020719,908,0.258154029447435,908,0.150493736370051,908,0.0931532281520969
907,0.0565623499135415,907,0.0646811898323394,907,0.258473569510787,907,0.152297418027459,907,0.0942710707300294
906,0.057034541797677,906,0.0653231155111965,906,0.259868359510193,906,0.154789193161275,906,0.0963009810069838
905,0.0570368737905266,905,0.0661880620118673,905,0.260654492081623,905,0.155499752803577,905,0.0973182906767416
904,0.0572330126327172,904,0.0666818887213827,904,0.261264619981781,904,0.157137826091876,904,0.0978133625999881
903,0.0571134527656597,903,0.0674882818616839,903,0.262106628219656,903,0.158974747642653,903,0.098803512791347
902,0.0577904677589609,902,0.0685084989811161,902,0.263177738392156,902,0.161291618165799,902,0.101327086110076
901,0.0578868774491233,901,0.0687512517060149,901,0.264149475184677,901,0.162527334428589,901,0.102652653750132
900,0.05824292107829,900,0.0703813597182612,900,0.265820030313749,900,0.164795826418653,900,0.103294891078665
899,0.0578689838492924,899,0.0702155538228136,899,0.265809527591628,899,0.166715197173348,899,0.105399824260085
898,0.0588306036512537,898,0.0706762415315282,898,0.26692925752236,898,0.169780477224758,898,0.106969847390148
897,0.0589515563762079,897,0.0715857461401514,897,0.267498665664424,897,0.170741474363613,897,0.1072537419198
896,0.0596235757513212,896,0.0728432253360544,896,0.268398960715392,896,0.172803532902632,896,0.109292125898538
895,0.0596791986451478,895,0.0729791076325081,895,0.268922840291249,895,0.174111373538363,895,0.110412924154598
894,0.0598104291921756,894,0.0740774311293209,894,0.270271386755885,894,0.176583643272924,894,0.111987071126474
893,0.0605872773375339,893,0.0750799987552344,893,0.27064230494352,893,0.178668109910194,893,0.114170216639228
892,0.0607309588299282,892,0.0758592395181476,892,0.271689600189859,892,0.180217255980966,892,0.115521480835396
891,0.0610072930749797,891,0.0764450597492935,891,0.271743606587915,891,0.182211718140568,891,0.116172359334147
890,0.0613222884548545,890,0.0773344763958186,890,0.272372723983239,890,0.18409402228636,890,0.117936219040323
889,0.0618733195538105,889,0.0778656759072627,889,0.272621813688168,889,0.18627320828103,889,0.120232511482056
888,0.0620993991532866,888,0.0787317876620696,888,0.27291204906096,888,0.187710002485309,888,0.120858523649081
887,0.0623701209515932,887,0.0801791878876186,887,0.274198295383914,887,0.190274699714259,887,0.122172897396495
886,0.0626556640145653,886,0.0808171376051839,886,0.274981519927819,886,0.191946500603126,886,0.124213293194904
885,0.0632361771265337,885,0.0814357916402138,885,0.275098311054288,885,0.194141868998173,885,0.1264138398719
884,0.0636785460624319,884,0.08266316173592,884,0.275169522727064,884,0.195469592988676,884,0.127836219343403
883,0.0641751673763087,883,0.0835392176082052,883,0.275798203797428,883,0.197372531001936,883,0.1288704732642
882,0.064305572472686,882,0.0842401363822764,882,0.276125914038204,882,0.198633207805141,882,0.130769149198884
881,0.0645669807579129,881,0.085054610566846,881,0.276403972558045,881,0.200635253181695,881,0.131939303105645
880,0.0646409038238525,880,0.0853886807176186,880,0.275553730617182,880,0.20184652878837,880,0.133944561072822
879,0.0653019042719644,879,0.0869709523740359,879,0.277516960428878,879,0.204088754946474,879,0.135963935488718
878,0.0655185483443323,878,0.0879864903364121,878,0.277221671893101,878,0.205949973939988,878,0.137671151666534
877,0.0656567646761339,877,0.0880954231011101,877,0.276703404790759,877,0.206892482370504,877,0.138769598640278
876,0.0661582470772414,876,0.0893280815028568,876,0.277673388289818,876,0.209565263149395,876,0.14213441886048
875,0.0671984871078447,875,0.0904636850926311,875,0.277082848310452,875,0.211452974501755,875,0.143331609374877
874,0.0669010342776523,874,0.0906807194840451,874,0.277803812432515,874,0.212504790181546,874,0.144898682045677
873,0.0681254700983043,873,0.0920774849332971,873,0.277113421949929,873,0.214033784026975,873,0.147070862355749
872,0.0679574959885301,872,0.0930337832573715,872,0.277001525067378,872,0.214989305986704,872,0.148891646626412
871,0.0680897989294581,871,0.0936803453953827,871,0.27734774431219,871,0.216661525024943,871,0.151004697442673
870,0.0683702509135577,870,0.0949089143163303,870,0.277544867071801,870,0.219170175532097,870,0.152905467163955
869,0.0691413590512104,869,0.0956565741227267,869,0.277367991855428,869,0.219972305783713,869,0.154743241442419
868,0.068870510058123,868,0.0964534563322041,868,0.27758454761824,868,0.221546834363175,868,0.155790283242556
867,0.0705001836003134,867,0.0979582284974852,867,0.276741344018992,867,0.224448025844625,867,0.159347444765016
866,0.070184244066392,866,0.0987819015970548,866,0.275914677291948,866,0.225222274241845,866,0.161345887121021
865,0.0707483176573506,865,0.100988731252111,865,0.276990160622065,865,0.226864822613934,865,0.1632024283355
864,0.0707284544033075,864,0.100663597024319,864,0.274915067850048,864,0.227564351896063,864,0.165283263576978
863,0.0713371027868501,863,0.102069710974079,863,0.275615055742955,863,0.228213039573495,863,0.167225984749324
862,0.0710561313993976,862,0.10242955483438,862,0.274119359569864,862,0.228946187876108,862,0.170006551614665
861,0.0714826157200027,861,0.104032898378319,861,0.274672455411173,861,0.230662077324833,861,0.173242449774446
860,0.0724878605647985,860,0.105520244173764,860,0.275154791683444,860,0.232485478637832,860,0.173298387246516
859,0.074018153001228,859,0.106119606091473,859,0.273556129685219,859,0.233557462342253,859,0.17618126094977
858,0.072502481915135,858,0.107304179939679,858,0.272461522764923,858,0.234451120083143,858,0.179169774031426
857,0.0733284081251929,857,0.107673264877635,857,0.271920868320466,857,0.235040399012164,857,0.179477875620711
